filename,audio_id,ground_truth,transcript,wer,cer,latency,response,llm_source,llm_mode,llm_enabled
2128_audio1.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Ya, aku rindu bookflag ilajedah Al-Usmu al-Qadim. Hal bisa bantu ajidah afdal schedule war wari hatan mubasurah?",1.364,1.156,47.94,"Ah, rindu book event di Jeddah Al-Usmu al-Qadim ya? Yalla, let's find that afdal schedule and some mubasharah details for you.",gemini,preserve,True
2128_audio10.wav,audio10,Apa perbedaan umrah dan hajj secara detail dalam Islam,Jelaskan step by step cara booking flight ke Jeddah secara online.,1.222,0.981,26.38,"Okay, pertama buka travel website atau airline app pilihanmu. Lalu, masukkan destinasi Jeddah, tanggal, jumlah penumpang, follow the prompts, and insyaAllah you'll get your booking confirmed.",gemini,preserve,True
2128_audio2.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Uridu Orange Transport Menjeda ilam Adhida Ghaddan,1.0,0.786,34.74,"Oke, so you want Orange Transport di-pause ke Adhida Ghaddan, ya?",gemini,preserve,True
2128_audio3.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,0.091,0.015,24.6,"Tentu, bisa kok. Untuk besok, أي ساعة تبغى تروح?",gemini,preserve,True
2128_audio4.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,27.16,"Oke, biasanya kamu apply visa Saudi online lewat platform resmi mereka. Pastikan dokumen lengkap, submit, dan inshallah permohonanmu akan diproses.",gemini,preserve,True
2128_audio5.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,0.765,0.672,28.4,"Tentu, bisa dibantu. For Jeddah next week, what dates are you looking at and any special preferences, إن شاء الله?",gemini,preserve,True
2128_audio6.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Aku butuh travel umrah simple tapi include body deficit.,1.125,0.895,24.77,"Umrah simple dengan 'body deficit'? Menarik! Insha'Allah, we can help find a package like that for you.",gemini,preserve,True
2128_audio7.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan",How to prepare Dokumen Umrah dari Indonesia dengan benar.,1.0,0.779,24.31,"Untuk dokumen Umrah, usually travel agent kamu yang akan guide. Make sure paspor dan visa kamu siap, InshaAllah.",gemini,preserve,True
2128_audio8.wav,audio08,اريد schedule trip dari Jeddah ke Makkah besok pagi,Bagaimana proses pisah Saudi untuk umrah dari Indonesia sekarang?,1.0,1.0,25.31,"Untuk pisah Saudi, you usually need to inform your travel agent from the start, ya. They'll help arrange your visa and flight details separately, إن شاء الله.",gemini,preserve,True
2128_audio9.wav,audio09,ممكن book transport dari Makkah ke Madinah untuk besok,Gate aku cara pilih hotel di Mekah dekat haram dengan budget terbatas.,1.333,0.926,29.08,"Oke, untuk budget terbatas dekat Haram, maybe consider hotels just a bit further out – they often offer better deals. Jangan lupa check online reviews and location كويس, إن شاء الله you'll find a good one!",gemini,preserve,True
