filename,audio_id,ground_truth,transcript,wer,cer,latency,response,llm_source,llm_mode,llm_enabled
2128_audio1.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Ya, aku rindu bookflag ilajedah Al-Usmu al-Qadim. Hal bisa bantu ajidah afdal schedule war wari hatan mubasurah?",1.364,1.156,75.33,Saya memahami Anda membutuhkan bantuan dengan jadwal. Mohon sampaikan detail yang diperlukan.,gemini,normalize,True
2128_audio10.wav,audio10,Apa perbedaan umrah dan hajj secara detail dalam Islam,Jelaskan step by step cara booking flight ke Jeddah secara online.,1.222,0.981,38.54,"Kunjungi situs web maskapai atau agen perjalanan daring, masukkan tujuan Jeddah serta tanggal keberangkatan dan kepulangan. Pilih penerbangan yang sesuai, lengkapi data penumpang, lalu selesaikan pembayaran untuk menerima konfirmasi.",gemini,normalize,True
2128_audio2.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit,Uridu Orange Transport Menjeda ilam Adhida Ghaddan,1.0,0.786,58.86,Input Anda mengandung kata-kata dari berbagai bahasa. Kami kesulitan memahami maknanya sebagai satu kesatuan kalimat.,gemini,normalize,True
2128_audio3.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,0.091,0.015,38.37,"Tentu, saya dapat membantu Anda mengatur transportasi dari Jeddah ke Madinah. Mohon informasikan detail lebih lanjut untuk pengaturan tersebut.",gemini,normalize,True
2128_audio4.wav,audio04,Explain step by step cara apply visa Saudi dengan benar,Explain step by step cara apply visa Saudi dengan benar.,0.1,0.018,42.39,"Untuk mengajukan visa Arab Saudi, lengkapi persyaratan dan ikuti prosedur yang berlaku. Pastikan untuk memeriksa situs web resmi Kedutaan Besar Arab Saudi atau platform visa elektronik terkait guna informasi terkini.",gemini,normalize,True
2128_audio5.wav,audio05,يَا أَخِي، أُرِيدُ book flight إِلَى Jeddah الأُسْبُوعَ القَادِمَ. هَلْ bisa bantu أَجِدَ أَفْضَلَ schedule وَرِحْلَةً مُبَاشِرَةً؟,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,0.765,0.672,63.11,"Tentu, saya dapat membantu Anda mengatur jadwal penerbangan ke Jeddah. Mohon sebutkan tanggal pasti keberangkatan serta preferensi waktu Anda.",gemini,normalize,True
2128_audio6.wav,audio06,أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا,Aku butuh travel umrah simple tapi include body deficit.,1.125,0.895,29.48,"Kami dapat membantu Anda mencari paket umrah yang sederhana. Untuk kebutuhan spesifik seperti 'body deficit', Anda dapat berdiskusi dengan penyelenggara umrah terkait opsi penyesuaian.",gemini,normalize,True
2128_audio7.wav,audio07,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan",How to prepare Dokumen Umrah dari Indonesia dengan benar.,1.0,0.779,41.29,"Persiapkan paspor valid, visa Umrah, sertifikat vaksinasi meningitis, serta dokumen pendukung lainnya. Pastikan kelengkapan sesuai persyaratan terkini dari kedutaan Arab Saudi dan biro perjalanan berizin.",gemini,normalize,True
2128_audio8.wav,audio08,اريد schedule trip dari Jeddah ke Makkah besok pagi,Bagaimana proses pisah Saudi untuk umrah dari Indonesia sekarang?,1.0,1.0,26.6,Jemaah Umrah dari Indonesia perlu mengajukan visa melalui biro perjalanan resmi yang disetujui Arab Saudi. Persyaratan kesehatan dan dokumen perjalanan juga harus dipenuhi sesuai ketentuan Kerajaan Arab Saudi.,gemini,normalize,True
2128_audio9.wav,audio09,ممكن book transport dari Makkah ke Madinah untuk besok,Gate aku cara pilih hotel di Mekah dekat haram dengan budget terbatas.,1.333,0.926,23.0,"Pilih hotel yang sedikit lebih jauh dari area utama Haram, namun masih terjangkau dengan transportasi umum. Manfaatkan aplikasi pemesanan daring untuk membandingkan harga dan ulasan berdasarkan anggaran Anda.",gemini,normalize,True
2222_audio1.wav,audio01,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?","Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?",0.091,0.016,23.4,"Mohon maaf, saya tidak dapat melakukan pemesanan tiket penerbangan secara langsung. Namun, saya dapat membantu Anda mencari informasi jadwal dan harga penerbangan tersebut.",gemini,normalize,True
